wnid,label
n01484850,3
n01491361,1
n01494475,1
n01496331,7
n01498041,6
n01629819,4
n01630670,2
n01632777,3
n01641206,4
n01641391,3
n01641577,2
n01644373,7
n01644900,6
n01664065,2
n01665541,5
n01667114,0
n01667778,0
n01669191,5
n01675722,4
n01677366,6
n01682714,7
n01685808,3
n01687978,4
n01688243,2
n01689811,6
n01692333,1
n01693334,7
n01694178,7
n01695060,6
n01728572,7
n01728920,6
n01729322,1
n01729977,3
n01734418,4
n01735189,7
n01737021,2
n01739381,6
n01740131,3
n01742172,7
n01748264,2
n01749939,4
n01753488,3
n01768244,2
n01770081,3
n01770393,6
n01773157,4
n01773549,7
n01773797,5
n01774384,2
n01774750,6
n01775062,3
n01776313,6
n01779629,7
n01784675,2
n01786646,3
n01787835,2
n01795545,7
n01796340,3
n01797886,7
n01798484,7
n01803078,1
n01806567,3
n01807496,0
n01909906,6
n01910747,6
n01914609,3
n01915811,4
n01924916,0
n01930112,4
n01935395,0
n01943899,1
n01944390,1
n01945685,4
n01950731,6
n01953361,2
n01955084,7
n01956481,0
n01963571,3
n01968897,1
n01978287,2
n01978455,5
n01980166,0
n01981276,6
n01983481,7
n01984695,0
n01985128,5
n01986214,5
n01986806,1
n01990800,6
n01998183,6
n02085620,5
n02086079,7
n02087394,1
n02090827,4
n02092002,7
n02093256,0
n02094433,0
n02096294,0
n02099267,5
n02099601,5
n02100583,1
n02100735,0
n02100877,0
n02101006,0
n02101388,3
n02106166,4
n02106382,5
n02106662,3
n02107142,1
n02108089,7
n02108551,4
n02109047,2
n02109525,2
n02109961,3
n02110341,3
n02110806,6
n02111277,0
n02112497,7
n02112826,5
n02113712,4
n02113799,5
n02114367,6
n02114548,6
n02114712,6
n02114855,5
n02115641,4
n02116738,4
n02117135,4
n02119022,7
n02119789,2
n02120079,0
n02120505,6
n02123045,3
n02123159,0
n02123394,5
n02123597,0
n02124075,6
n02125311,5
n02127052,5
n02128385,6
n02128757,0
n02128925,1
n02129165,4
n02129604,5
n02130308,1
n02132136,1
n02133161,6
n02134084,0
n02134418,0
n02137549,7
n02138441,4
n02165105,0
n02165456,6
n02167151,2
n02168699,3
n02169497,0
n02177972,5
n02190166,7
n02200198,6
n02206856,2
n02219486,1
n02226429,4
n02229544,7
n02231487,7
n02233338,6
n02236044,0
n02256656,5
n02259212,5
n02262449,6
n02264363,4
n02268443,4
n02268853,0
n02274822,2
n02277742,4
n02279972,6
n02280649,3
n02281406,2
n02281787,4
n02283201,2
n02317335,5
n02319095,5
