class_idx,wnid,class_name,indoor,clip_indoor_frac,clip_indoor_prob,clip_label,disagree
0,n01484850,great white shark,0,0.188,0.368,0,0
1,n01491361,tiger shark,0,0.25,0.365,0,0
2,n01494475,hammerhead,0,0.406,0.446,0,0
3,n01496331,electric ray,0,0.281,0.36,0,0
4,n01498041,stingray,0,0.266,0.359,0,0
5,n01629819,european fire salamander,0,0.047,0.084,0,0
6,n01630670,common newt,0,0.031,0.132,0,0
7,n01632777,axolotl,0,0.562,0.545,1,1
8,n01641206,wood-frog,0,0.031,0.125,0,0
9,n01641391,leopard frog,0,0.0,0.065,0,0
10,n01641577,bullfrog,0,0.047,0.086,0,0
11,n01644373,tree frog,0,0.125,0.226,0,0
12,n01644900,tailed frog,0,0.031,0.142,0,0
13,n01664065,loggerhead,0,0.297,0.422,0,0
14,n01665541,leatherback turtle,0,0.109,0.28,0,0
15,n01667114,mud turtle,0,0.156,0.215,0,0
16,n01667778,terrapin,0,0.328,0.331,0,0
17,n01669191,box turtle,0,0.141,0.183,0,0
18,n01675722,banded gecko,0,0.062,0.171,0,0
19,n01677366,common iguana,0,0.047,0.092,0,0
20,n01682714,american chameleon,0,0.047,0.126,0,0
21,n01685808,whiptail,0,0.016,0.049,0,0
22,n01687978,agama,0,0.125,0.148,0,0
23,n01688243,frilled lizard,0,0.391,0.37,0,0
24,n01689811,alligator lizard,0,0.047,0.094,0,0
25,n01692333,gila monster,0,0.203,0.239,0,0
26,n01693334,green lizard,0,0.062,0.105,0,0
27,n01694178,african chameleon,0,0.219,0.285,0,0
28,n01695060,komodo dragon,0,0.312,0.311,0,0
29,n01728572,thunder snake,0,0.047,0.092,0,0
30,n01728920,ringneck snake,0,0.062,0.107,0,0
31,n01729322,hognose snake,0,0.094,0.145,0,0
32,n01729977,green snake,0,0.219,0.292,0,0
33,n01734418,king snake,0,0.219,0.249,0,0
34,n01735189,garter snake,0,0.0,0.033,0,0
35,n01737021,water snake,0,0.0,0.04,0,0
36,n01739381,vine snake,0,0.172,0.187,0,0
37,n01740131,night snake,0,0.062,0.13,0,0
38,n01742172,boa constrictor,0,0.438,0.442,0,0
39,n01748264,indian cobra,0,0.047,0.154,0,0
40,n01749939,green mamba,0,0.25,0.33,0,0
41,n01753488,horned viper,0,0.156,0.214,0,0
42,n01768244,trilobite,0,0.703,0.582,1,1
43,n01770081,harvestman,0,0.109,0.196,0,0
44,n01770393,scorpion,0,0.266,0.338,0,0
45,n01773157,black and gold garden spider,0,0.0,0.055,0,0
46,n01773549,barn spider,0,0.094,0.163,0,0
47,n01773797,garden spider,0,0.016,0.068,0,0
48,n01774384,black widow,0,0.391,0.429,0,0
49,n01774750,tarantula,0,0.312,0.35,0,0
50,n01775062,wolf spider,0,0.062,0.174,0,0
51,n01776313,tick,0,0.453,0.474,0,0
52,n01779629,mite,0,0.125,0.273,0,0
53,n01784675,centipede,0,0.453,0.471,0,0
54,n01786646,millipede,0,0.25,0.281,0,0
55,n01787835,horseshoe crab,0,0.281,0.352,0,0
56,n01795545,black grouse,0,0.0,0.041,0,0
57,n01796340,ptarmigan,0,0.016,0.058,0,0
58,n01797886,ruffed grouse,0,0.016,0.038,0,0
59,n01798484,prairie chicken,0,0.031,0.055,0,0
60,n01803078,pheasant,0,0.031,0.049,0,0
61,n01806567,quail,0,0.016,0.043,0,0
62,n01807496,partridge,0,0.031,0.051,0,0
63,n01909906,polyp,0,0.391,0.463,0,0
64,n01910747,jellyfish,0,0.594,0.529,1,1
65,n01914609,sea anemone,0,0.203,0.313,0,0
66,n01915811,coral,0,0.188,0.287,0,0
67,n01924916,flatworm,0,0.0,0.111,0,0
