class_idx,wnid,class_name,natural,handheld,indoor,self_moving,soft,elongated
0,n01484850,great white shark,1,0,0,1,1,1
1,n01491361,tiger shark,1,0,0,1,1,1
2,n01494475,hammerhead,1,0,0,1,1,1
3,n01496331,electric ray,1,0,0,1,1,0
4,n01498041,stingray,1,0,0,1,1,0
5,n01629819,european fire salamander,1,1,0,1,1,1
6,n01630670,common newt,1,1,0,1,1,1
7,n01632777,axolotl,1,1,0,1,1,1
8,n01641206,wood-frog,1,1,0,1,1,0
9,n01641391,leopard frog,1,1,0,1,1,0
10,n01641577,bullfrog,1,1,0,1,1,0
11,n01644373,tree frog,1,1,0,1,1,0
12,n01644900,tailed frog,1,1,0,1,1,0
13,n01664065,loggerhead,1,0,0,1,0,0
14,n01665541,leatherback turtle,1,0,0,1,0,0
15,n01667114,mud turtle,1,1,0,1,0,0
16,n01667778,terrapin,1,1,0,1,0,0
17,n01669191,box turtle,1,1,0,1,0,0
18,n01675722,banded gecko,1,1,0,1,1,1
19,n01677366,common iguana,1,1,0,1,1,1
20,n01682714,american chameleon,1,1,0,1,1,1
21,n01685808,whiptail,1,1,0,1,1,1
22,n01687978,agama,1,1,0,1,1,1
23,n01688243,frilled lizard,1,1,0,1,1,1
24,n01689811,alligator lizard,1,1,0,1,1,1
25,n01692333,gila monster,1,1,0,1,1,1
26,n01693334,green lizard,1,1,0,1,1,1
27,n01694178,african chameleon,1,1,0,1,1,1
28,n01695060,komodo dragon,1,0,0,1,1,1
29,n01728572,thunder snake,1,1,0,1,1,1
30,n01728920,ringneck snake,1,1,0,1,1,1
31,n01729322,hognose snake,1,1,0,1,1,1
32,n01729977,green snake,1,1,0,1,1,1
33,n01734418,king snake,1,1,0,1,1,1
34,n01735189,garter snake,1,1,0,1,1,1
35,n01737021,water snake,1,1,0,1,1,1
36,n01739381,vine snake,1,1,0,1,1,1
37,n01740131,night snake,1,1,0,1,1,1
38,n01742172,boa constrictor,1,0,0,1,1,1
39,n01748264,indian cobra,1,1,0,1,1,1
40,n01749939,green mamba,1,1,0,1,1,1
41,n01753488,horned viper,1,1,0,1,1,1
42,n01768244,trilobite,1,1,0,0,0,0
43,n01770081,harvestman,1,1,0,1,0,0
44,n01770393,scorpion,1,1,0,1,0,1
45,n01773157,black and gold garden spider,1,1,0,1,0,0
46,n01773549,barn spider,1,1,0,1,0,0
47,n01773797,garden spider,1,1,0,1,0,0
48,n01774384,black widow,1,1,0,1,0,0
49,n01774750,tarantula,1,1,0,1,0,0
50,n01775062,wolf spider,1,1,0,1,0,0
51,n01776313,tick,1,1,0,1,0,0
52,n01779629,mite,1,1,0,1,0,0
53,n01784675,centipede,1,1,0,1,0,1
54,n01786646,millipede,1,1,0,1,0,1
55,n01787835,horseshoe crab,1,1,0,1,0,0
56,n01795545,black grouse,1,1,0,1,1,0
57,n01796340,ptarmigan,1,1,0,1,1,0
58,n01797886,ruffed grouse,1,1,0,1,1,0
59,n01798484,prairie chicken,1,1,0,1,1,0
60,n01803078,pheasant,1,1,0,1,1,1
61,n01806567,quail,1,1,0,1,1,0
62,n01807496,partridge,1,1,0,1,1,0
63,n01909906,polyp,1,1,0,0,1,0
64,n01910747,jellyfish,1,1,0,1,1,0
65,n01914609,sea anemone,1,1,0,0,1,0
66,n01915811,coral,1,1,0,0,0,0
67,n01924916,flatworm,1,1,0,1,1,1
68,n01930112,nematode,1,1,0,1,1,1
69,n01935395,earthworm,1,1,0,1,1,1
70,n01943899,conch,1,1,0,1,0,0
71,n01944390,snail,1,1,0,1,0,0
72,n01945685,slug,1,1,0,1,1,1
73,n01950731,sea slug,1,1,0,1,1,1
74,n01953361,cowrie,1,1,0,1,0,0
75,n01955084,chiton,1,1,0,1,0,0
76,n01956481,clam,1,1,0,1,0,0
77,n01963571,mussel,1,1,0,1,0,0
78,n01968897,chambered nautilus,1,1,0,1,0,0
79,n01978287,dungeness crab,1,1,0,1,0,0
80,n01978455,rock crab,1,1,0,1,0,0
81,n01980166,fiddler crab,1,1,0,1,0,0
82,n01981276,king crab,1,1,0,1,0,0
83,n01983481,american lobster,1,1,0,1,0,1
84,n01984695,spiny lobster,1,1,0,1,0,1
85,n01985128,crayfish,1,1,0,1,0,1
86,n01986214,hermit crab,1,1,0,1,0,0
87,n01986806,shrimp,1,1,0,1,0,1
88,n01990800,isopod,1,1,0,1,0,0
89,n01998183,barnacle,1,1,0,0,0,0
90,n02085620,chihuahua,1,1,1,1,1,0
91,n02086079,pekinese,1,1,1,1,1,0
92,n02087394,rhodesian ridgeback,1,0,1,1,1,0
93,n02090827,greyhound,1,0,1,1,1,0
94,n02092002,scottish deerhound,1,0,1,1,1,0
95,n02093256,staffordshire bullterrier,1,0,1,1,1,0
96,n02094433,yorkshire terrier,1,1,1,1,1,0
97,n02096294,australian terrier,1,1,1,1,1,0
98,n02099267,flat-coated retriever,1,0,1,1,1,0
99,n02099601,golden retriever,1,0,1,1,1,0
100,n02100583,vizsla,1,0,1,1,1,0
101,n02100735,english setter,1,0,1,1,1,0
102,n02100877,irish setter,1,0,1,1,1,0
103,n02101006,gordon setter,1,0,1,1,1,0
104,n02101388,brittany spaniel,1,0,1,1,1,0
105,n02106166,border collie,1,0,1,1,1,0
106,n02106382,bouvier des flandres,1,0,1,1,1,0
107,n02106662,german shepherd,1,0,1,1,1,0
108,n02107142,doberman,1,0,1,1,1,0
109,n02108089,boxer,1,0,1,1,1,0
110,n02108551,tibetan mastiff,1,0,1,1,1,0
111,n02109047,great dane,1,0,1,1,1,0
112,n02109525,saint bernard,1,0,1,1,1,0
113,n02109961,eskimo dog,1,0,1,1,1,0
114,n02110341,dalmatian,1,0,1,1,1,0
115,n02110806,basenji,1,1,1,1,1,0
116,n02111277,newfoundland,1,0,1,1,1,0
117,n02112497,griffon,1,1,1,1,1,0
118,n02112826,corgi,1,1,1,1,1,1
119,n02113712,miniature poodle,1,1,1,1,1,0
120,n02113799,standard poodle,1,0,1,1,1,0
121,n02114367,timber wolf,1,0,0,1,1,0
122,n02114548,white wolf,1,0,0,1,1,0
123,n02114712,red wolf,1,0,0,1,1,0
124,n02114855,coyote,1,0,0,1,1,0
125,n02115641,dingo,1,0,0,1,1,0
126,n02116738,african hunting dog,1,0,0,1,1,0
127,n02117135,hyena,1,0,0,1,1,0
128,n02119022,red fox,1,0,0,1,1,0
129,n02119789,kit fox,1,1,0,1,1,0
130,n02120079,arctic fox,1,1,0,1,1,0
131,n02120505,grey fox,1,1,0,1,1,0
