class_idx,wnid,class_name,group_id,group_name
0,n01484850,tench,2,fish_reptiles_and_bugs
1,n01491361,goldfish,2,fish_reptiles_and_bugs
2,n01494475,great white shark,2,fish_reptiles_and_bugs
3,n01496331,tiger shark,2,fish_reptiles_and_bugs
4,n01498041,hammerhead,2,fish_reptiles_and_bugs
5,n01629819,electric ray,2,fish_reptiles_and_bugs
6,n01630670,stingray,2,fish_reptiles_and_bugs
7,n01632777,cock,1,other_mammals_and_birds
8,n01641206,hen,1,other_mammals_and_birds
9,n01641391,ostrich,1,other_mammals_and_birds
10,n01641577,brambling,1,other_mammals_and_birds
11,n01644373,goldfinch,1,other_mammals_and_birds
12,n01644900,house finch,1,other_mammals_and_birds
13,n01664065,junco,1,other_mammals_and_birds
14,n01665541,indigo bunting,1,other_mammals_and_birds
15,n01667114,robin,1,other_mammals_and_birds
16,n01667778,bulbul,1,other_mammals_and_birds
17,n01669191,jay,1,other_mammals_and_birds
18,n01675722,magpie,1,other_mammals_and_birds
19,n01677366,chickadee,1,other_mammals_and_birds
20,n01682714,water ouzel,1,other_mammals_and_birds
21,n01685808,kite,1,other_mammals_and_birds
22,n01687978,bald eagle,1,other_mammals_and_birds
23,n01688243,vulture,1,other_mammals_and_birds
24,n01689811,great grey owl,1,other_mammals_and_birds
25,n01692333,European fire salamander,2,fish_reptiles_and_bugs
26,n01693334,common newt,2,fish_reptiles_and_bugs
27,n01694178,eft,2,fish_reptiles_and_bugs
28,n01695060,spotted salamander,2,fish_reptiles_and_bugs
29,n01728572,axolotl,2,fish_reptiles_and_bugs
30,n01728920,bullfrog,2,fish_reptiles_and_bugs
31,n01729322,tree frog,2,fish_reptiles_and_bugs
32,n01729977,tailed frog,2,fish_reptiles_and_bugs
33,n01734418,loggerhead,2,fish_reptiles_and_bugs
34,n01735189,leatherback turtle,2,fish_reptiles_and_bugs
35,n01737021,mud turtle,2,fish_reptiles_and_bugs
36,n01739381,terrapin,2,fish_reptiles_and_bugs
37,n01740131,box turtle,2,fish_reptiles_and_bugs
38,n01742172,banded gecko,2,fish_reptiles_and_bugs
39,n01748264,common iguana,2,fish_reptiles_and_bugs
40,n01749939,American chameleon,2,fish_reptiles_and_bugs
41,n01753488,whiptail,2,fish_reptiles_and_bugs
42,n01768244,agama,2,fish_reptiles_and_bugs
43,n01770081,frilled lizard,2,fish_reptiles_and_bugs
44,n01770393,alligator lizard,2,fish_reptiles_and_bugs
45,n01773157,Gila monster,2,fish_reptiles_and_bugs
46,n01773549,green lizard,2,fish_reptiles_and_bugs
47,n01773797,African chameleon,2,fish_reptiles_and_bugs
48,n01774384,Komodo dragon,2,fish_reptiles_and_bugs
49,n01774750,African crocodile,2,fish_reptiles_and_bugs
50,n01775062,American alligator,2,fish_reptiles_and_bugs
51,n01776313,triceratops,2,fish_reptiles_and_bugs
52,n01779629,thunder snake,2,fish_reptiles_and_bugs
53,n01784675,ringneck snake,2,fish_reptiles_and_bugs
54,n01786646,hognose snake,2,fish_reptiles_and_bugs
55,n01787835,green snake,2,fish_reptiles_and_bugs
56,n01795545,king snake,2,fish_reptiles_and_bugs
57,n01796340,garter snake,2,fish_reptiles_and_bugs
58,n01797886,water snake,2,fish_reptiles_and_bugs
59,n01798484,vine snake,2,fish_reptiles_and_bugs
60,n01803078,night snake,2,fish_reptiles_and_bugs
61,n01806567,boa constrictor,2,fish_reptiles_and_bugs
62,n01807496,rock python,2,fish_reptiles_and_bugs
63,n01909906,Indian cobra,2,fish_reptiles_and_bugs
64,n01910747,green mamba,2,fish_reptiles_and_bugs
65,n01914609,sea snake,2,fish_reptiles_and_bugs
66,n01915811,horned viper,2,fish_reptiles_and_bugs
67,n01924916,diamondback,2,fish_reptiles_and_bugs
68,n01930112,sidewinder,2,fish_reptiles_and_bugs
69,n01935395,trilobite,2,fish_reptiles_and_bugs
70,n01943899,harvestman,2,fish_reptiles_and_bugs
71,n01944390,scorpion,2,fish_reptiles_and_bugs
72,n01945685,black and gold garden spider,2,fish_reptiles_and_bugs
73,n01950731,barn spider,2,fish_reptiles_and_bugs
74,n01953361,garden spider,2,fish_reptiles_and_bugs
75,n01955084,black widow,2,fish_reptiles_and_bugs
76,n01956481,tarantula,2,fish_reptiles_and_bugs
77,n01963571,wolf spider,2,fish_reptiles_and_bugs
78,n01968897,tick,2,fish_reptiles_and_bugs
79,n01978287,centipede,2,fish_reptiles_and_bugs
80,n01978455,black grouse,1,other_mammals_and_birds
81,n01980166,ptarmigan,1,other_mammals_and_birds
82,n01981276,ruffed grouse,1,other_mammals_and_birds
83,n01983481,prairie chicken,1,other_mammals_and_birds
84,n01984695,peacock,1,other_mammals_and_birds
85,n01985128,quail,1,other_mammals_and_birds
86,n01986214,partridge,1,other_mammals_and_birds
